Timestamp,AHT20_Temp_C,AHT20_Hum_%,DHT11_Temp_C,DHT11_Hum_%
2025-08-28 15:00:00,21.97,62.31,24.60,64.00
2025-08-28 15:00:30,21.96,62.30,24.30,65.00
2025-08-28 15:01:00,21.96,62.33,24.30,65.00
2025-08-28 15:01:30,21.97,62.33,24.90,65.00
2025-08-28 15:02:00,21.96,62.28,24.90,65.00
2025-08-28 15:02:30,21.99,62.31,24.80,64.00
2025-08-28 15:03:00,21.97,62.33,24.80,64.00
2025-08-28 15:03:30,21.98,62.34,24.00,64.00
2025-08-28 15:04:00,22.00,62.35,24.00,64.00
2025-08-28 15:04:30,21.99,62.33,24.50,65.00
2025-08-28 15:05:00,21.97,62.32,24.50,65.00
