Timestamp,AHT20_Temp_C,AHT20_Hum_%,DHT11_Temp_C,DHT11_Hum_%
2025-08-25 12:43:02,21.60,64.48,23.10,68.00
2025-08-25 12:43:32,21.59,64.45,23.10,68.00
2025-08-25 12:44:02,21.62,64.47,23.10,68.00
2025-08-25 12:44:32,21.59,64.46,23.10,68.00
2025-08-25 12:45:02,21.59,64.45,23.40,68.00
2025-08-25 12:45:32,21.62,64.42,23.40,68.00
2025-08-25 12:46:02,21.61,64.43,23.30,68.00
2025-08-25 12:46:32,21.61,64.48,23.30,68.00
2025-08-25 12:47:02,21.62,64.45,23.30,68.00
2025-08-25 12:47:32,21.60,64.43,23.30,68.00
2025-08-25 12:48:02,21.62,64.44,23.10,68.00
