Timestamp,AHT20_Temp_C,AHT20_Hum_%,DHT11_Temp_C,DHT11_Hum_%
2025-08-28 13:56:25,21.89,62.81,24.20,66.00
2025-08-28 13:56:55,21.89,62.84,24.20,66.00
2025-08-28 13:57:25,21.90,62.79,24.20,66.00
2025-08-28 13:57:55,21.88,62.80,24.20,66.00
2025-08-28 13:58:25,21.90,62.79,24.20,66.00
2025-08-28 13:58:55,21.89,62.80,24.20,66.00
2025-08-28 13:59:25,21.91,62.80,24.40,66.00
2025-08-28 13:59:55,21.91,62.82,24.40,66.00
2025-08-28 14:00:25,21.91,62.82,24.70,66.00
2025-08-28 14:00:55,21.90,62.83,24.70,66.00
2025-08-28 14:01:25,21.90,62.82,24.00,66.00
