Timestamp,AHT20_Temp_C,AHT20_Hum_%,DHT11_Temp_C,DHT11_Hum_%
2025-08-28 12:00:00,22.17,62.41,24.50,64.00
2025-08-28 12:00:30,22.17,62.42,24.20,64.00
2025-08-28 12:01:00,22.18,62.40,24.20,64.00
2025-08-28 12:01:30,22.18,62.39,24.40,64.00
2025-08-28 12:02:00,22.17,62.41,24.40,64.00
2025-08-28 12:02:30,22.17,62.37,24.60,64.00
2025-08-28 12:03:00,22.17,62.39,24.60,64.00
2025-08-28 12:03:30,22.18,62.37,24.30,64.00
2025-08-28 12:04:00,22.19,62.42,24.30,64.00
2025-08-28 12:04:30,22.18,62.38,24.60,64.00
2025-08-28 12:05:00,22.18,62.41,24.60,64.00
