Timestamp,AHT20_Temp_C,AHT20_Hum_%,DHT11_Temp_C,DHT11_Hum_%
2025-08-28 11:52:15,22.17,62.36,24.70,64.00
2025-08-28 11:52:45,22.18,62.41,24.70,64.00
2025-08-28 11:53:15,22.18,62.38,24.70,64.00
2025-08-28 11:53:45,22.17,62.39,24.70,64.00
2025-08-28 11:54:15,22.17,62.43,24.60,64.00
2025-08-28 11:54:45,22.19,62.40,24.60,64.00
2025-08-28 11:55:15,22.19,62.43,24.90,64.00
2025-08-28 11:55:45,22.18,62.39,24.90,64.00
2025-08-28 11:56:15,22.17,62.45,24.80,64.00
2025-08-28 11:56:45,22.17,62.39,24.80,64.00
2025-08-28 11:57:15,22.19,62.39,24.50,64.00
