Timestamp,AHT20_Temp_C,AHT20_Hum_%,DHT11_Temp_C,DHT11_Hum_%
2025-08-20 15:56:49,22.00,60.95,24.80,64.00
2025-08-20 15:57:19,21.99,60.93,24.80,64.00
2025-08-20 15:57:49,22.00,60.96,24.80,64.00
2025-08-20 15:58:19,22.01,60.96,24.80,64.00
2025-08-20 15:58:49,22.00,60.99,24.80,64.00
2025-08-20 15:59:19,22.00,60.96,24.80,64.00
2025-08-20 15:59:49,22.01,60.95,24.70,64.00
2025-08-20 16:00:19,22.02,60.99,24.70,64.00
2025-08-20 16:00:49,22.01,61.00,24.20,64.00
2025-08-20 16:01:19,22.01,60.99,24.20,64.00
2025-08-20 16:01:49,22.01,60.99,24.30,64.00
