Timestamp,AHT20_Temp_C,AHT20_Hum_%,DHT11_Temp_C,DHT11_Hum_%
2025-09-04 14:24:55,22.35,61.08,23.60,68.00
2025-09-04 14:25:25,22.35,61.13,23.60,68.00
2025-09-04 14:25:55,22.35,61.10,23.10,68.00
2025-09-04 14:26:25,22.36,61.13,23.10,68.00
2025-09-04 14:26:55,22.34,61.14,23.40,68.00
2025-09-04 14:27:25,22.35,61.11,23.40,68.00
2025-09-04 14:27:55,22.34,61.14,23.30,68.00
2025-09-04 14:28:25,22.34,61.11,23.30,68.00
2025-09-04 14:28:55,22.35,61.11,23.30,68.00
2025-09-04 14:29:25,22.36,61.11,23.30,68.00
2025-09-04 14:29:55,22.36,61.11,23.20,68.00
